bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,32,64,0,193.664,8,8,2D_kernel,8192,8192,8192
16,32,64,1,192.94,8,8,2D_kernel,8192,8192,8192
16,32,64,2,192.284,8,8,2D_kernel,8192,8192,8192
16,32,64,3,192.02,8,8,2D_kernel,8192,8192,8192
16,32,64,4,191.73,8,8,2D_kernel,8192,8192,8192
16,32,64,5,192.295,8,8,2D_kernel,8192,8192,8192
16,32,64,6,192.176,8,8,2D_kernel,8192,8192,8192
16,32,64,7,191.852,8,8,2D_kernel,8192,8192,8192
16,32,64,8,191.752,8,8,2D_kernel,8192,8192,8192
16,32,64,9,191.919,8,8,2D_kernel,8192,8192,8192
16,32,64,0,22.3025,8,8,2D_cublas,8192,8192,8192
16,32,64,1,22.2636,8,8,2D_cublas,8192,8192,8192
16,32,64,2,22.2764,8,8,2D_cublas,8192,8192,8192
16,32,64,3,22.2785,8,8,2D_cublas,8192,8192,8192
16,32,64,4,22.336,8,8,2D_cublas,8192,8192,8192
16,32,64,5,22.4356,8,8,2D_cublas,8192,8192,8192
16,32,64,6,22.6721,8,8,2D_cublas,8192,8192,8192
16,32,64,7,22.8178,8,8,2D_cublas,8192,8192,8192
16,32,64,8,22.7837,8,8,2D_cublas,8192,8192,8192
16,32,64,9,22.7638,8,8,2D_cublas,8192,8192,8192
16,256,64,0,154.801,8,8,2D_kernel,8192,8192,8192
16,256,64,1,154.686,8,8,2D_kernel,8192,8192,8192
16,256,64,2,154.707,8,8,2D_kernel,8192,8192,8192
16,256,64,3,154.777,8,8,2D_kernel,8192,8192,8192
16,256,64,4,154.735,8,8,2D_kernel,8192,8192,8192
16,256,64,5,154.728,8,8,2D_kernel,8192,8192,8192
16,256,64,6,154.789,8,8,2D_kernel,8192,8192,8192
16,256,64,7,154.792,8,8,2D_kernel,8192,8192,8192
16,256,64,8,154.7,8,8,2D_kernel,8192,8192,8192
16,256,64,9,154.813,8,8,2D_kernel,8192,8192,8192
16,256,64,0,22.4015,8,8,2D_cublas,8192,8192,8192
16,256,64,1,22.2794,8,8,2D_cublas,8192,8192,8192
16,256,64,2,22.3349,8,8,2D_cublas,8192,8192,8192
16,256,64,3,22.3655,8,8,2D_cublas,8192,8192,8192
16,256,64,4,22.4549,8,8,2D_cublas,8192,8192,8192
16,256,64,5,22.5154,8,8,2D_cublas,8192,8192,8192
16,256,64,6,22.5132,8,8,2D_cublas,8192,8192,8192
16,256,64,7,22.5137,8,8,2D_cublas,8192,8192,8192
16,256,64,8,22.4762,8,8,2D_cublas,8192,8192,8192
16,256,64,9,22.5307,8,8,2D_cublas,8192,8192,8192
16,64,128,0,139.08,8,8,2D_kernel,8192,8192,8192
16,64,128,1,139.056,8,8,2D_kernel,8192,8192,8192
16,64,128,2,139.062,8,8,2D_kernel,8192,8192,8192
16,64,128,3,139.055,8,8,2D_kernel,8192,8192,8192
16,64,128,4,139.106,8,8,2D_kernel,8192,8192,8192
16,64,128,5,139.157,8,8,2D_kernel,8192,8192,8192
16,64,128,6,139.035,8,8,2D_kernel,8192,8192,8192
16,64,128,7,139.225,8,8,2D_kernel,8192,8192,8192
16,64,128,8,139.044,8,8,2D_kernel,8192,8192,8192
16,64,128,9,139.138,8,8,2D_kernel,8192,8192,8192
16,64,128,0,22.3906,8,8,2D_cublas,8192,8192,8192
16,64,128,1,22.422,8,8,2D_cublas,8192,8192,8192
16,64,128,2,22.4149,8,8,2D_cublas,8192,8192,8192
16,64,128,3,22.2984,8,8,2D_cublas,8192,8192,8192
16,64,128,4,22.4299,8,8,2D_cublas,8192,8192,8192
16,64,128,5,22.4376,8,8,2D_cublas,8192,8192,8192
16,64,128,6,22.3355,8,8,2D_cublas,8192,8192,8192
16,64,128,7,22.5168,8,8,2D_cublas,8192,8192,8192
16,64,128,8,22.7044,8,8,2D_cublas,8192,8192,8192
16,64,128,9,22.7679,8,8,2D_cublas,8192,8192,8192
8,64,64,0,141.919,8,8,2D_kernel,8192,8192,8192
8,64,64,1,141.881,8,8,2D_kernel,8192,8192,8192
8,64,64,2,141.924,8,8,2D_kernel,8192,8192,8192
8,64,64,3,141.89,8,8,2D_kernel,8192,8192,8192
8,64,64,4,141.9,8,8,2D_kernel,8192,8192,8192
8,64,64,5,141.886,8,8,2D_kernel,8192,8192,8192
8,64,64,6,141.896,8,8,2D_kernel,8192,8192,8192
8,64,64,7,141.913,8,8,2D_kernel,8192,8192,8192
8,64,64,8,141.967,8,8,2D_kernel,8192,8192,8192
8,64,64,9,141.921,8,8,2D_kernel,8192,8192,8192
8,64,64,0,22.4355,8,8,2D_cublas,8192,8192,8192
8,64,64,1,22.3919,8,8,2D_cublas,8192,8192,8192
8,64,64,2,22.4055,8,8,2D_cublas,8192,8192,8192
8,64,64,3,22.4921,8,8,2D_cublas,8192,8192,8192
8,64,64,4,22.4875,8,8,2D_cublas,8192,8192,8192
8,64,64,5,22.4732,8,8,2D_cublas,8192,8192,8192
8,64,64,6,22.5721,8,8,2D_cublas,8192,8192,8192
8,64,64,7,22.6126,8,8,2D_cublas,8192,8192,8192
8,64,64,8,22.5521,8,8,2D_cublas,8192,8192,8192
8,64,64,9,22.5488,8,8,2D_cublas,8192,8192,8192
32,32,32,0,232.857,8,8,2D_kernel,8192,8192,8192
32,32,32,1,232.835,8,8,2D_kernel,8192,8192,8192
32,32,32,2,232.777,8,8,2D_kernel,8192,8192,8192
32,32,32,3,232.861,8,8,2D_kernel,8192,8192,8192
32,32,32,4,232.792,8,8,2D_kernel,8192,8192,8192
32,32,32,5,232.878,8,8,2D_kernel,8192,8192,8192
32,32,32,6,232.745,8,8,2D_kernel,8192,8192,8192
