bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,0,3.92666,8,8,4D_kernel,8192,8192,256
16,64,64,1,3.96707,8,8,4D_kernel,8192,8192,256
16,64,64,2,3.97085,8,8,4D_kernel,8192,8192,256
16,64,64,3,3.95174,8,8,4D_kernel,8192,8192,256
16,64,64,4,3.93683,8,8,4D_kernel,8192,8192,256
16,64,64,5,3.93811,8,8,4D_kernel,8192,8192,256
16,64,64,6,3.96045,8,8,4D_kernel,8192,8192,256
16,64,64,7,3.95674,8,8,4D_kernel,8192,8192,256
16,64,64,8,3.96826,8,8,4D_kernel,8192,8192,256
16,64,64,9,3.94595,8,8,4D_kernel,8192,8192,256
16,64,64,0,0.666624,8,8,4D_cublas,8192,8192,256
16,64,64,1,0.658112,8,8,4D_cublas,8192,8192,256
16,64,64,2,0.649728,8,8,4D_cublas,8192,8192,256
16,64,64,3,0.644128,8,8,4D_cublas,8192,8192,256
16,64,64,4,0.645536,8,8,4D_cublas,8192,8192,256
16,64,64,5,0.643008,8,8,4D_cublas,8192,8192,256
16,64,64,6,0.642464,8,8,4D_cublas,8192,8192,256
16,64,64,7,0.644704,8,8,4D_cublas,8192,8192,256
16,64,64,8,0.638752,8,8,4D_cublas,8192,8192,256
16,64,64,9,0.641216,8,8,4D_cublas,8192,8192,256
16,128,64,0,3.94189,8,8,4D_kernel,8192,8192,256
16,128,64,1,3.92928,8,8,4D_kernel,8192,8192,256
16,128,64,2,3.93178,8,8,4D_kernel,8192,8192,256
16,128,64,3,3.9351,8,8,4D_kernel,8192,8192,256
16,128,64,4,3.92214,8,8,4D_kernel,8192,8192,256
16,128,64,5,3.91696,8,8,4D_kernel,8192,8192,256
16,128,64,6,3.92618,8,8,4D_kernel,8192,8192,256
16,128,64,7,3.92112,8,8,4D_kernel,8192,8192,256
16,128,64,8,3.92893,8,8,4D_kernel,8192,8192,256
16,128,64,9,3.92435,8,8,4D_kernel,8192,8192,256
16,128,64,0,0.660288,8,8,4D_cublas,8192,8192,256
16,128,64,1,0.666912,8,8,4D_cublas,8192,8192,256
16,128,64,2,0.655232,8,8,4D_cublas,8192,8192,256
16,128,64,3,0.6576,8,8,4D_cublas,8192,8192,256
16,128,64,4,0.65216,8,8,4D_cublas,8192,8192,256
16,128,64,5,0.647936,8,8,4D_cublas,8192,8192,256
16,128,64,6,0.647968,8,8,4D_cublas,8192,8192,256
16,128,64,7,0.648704,8,8,4D_cublas,8192,8192,256
16,128,64,8,0.647424,8,8,4D_cublas,8192,8192,256
