bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,0,124.285,8,8,4D_kernel,8192,8192,8192
16,64,64,1,125.419,8,8,4D_kernel,8192,8192,8192
16,64,64,2,125.629,8,8,4D_kernel,8192,8192,8192
16,64,64,3,127.033,8,8,4D_kernel,8192,8192,8192
16,64,64,4,123.56,8,8,4D_kernel,8192,8192,8192
16,64,64,5,125.021,8,8,4D_kernel,8192,8192,8192
16,64,64,6,123.819,8,8,4D_kernel,8192,8192,8192
16,64,64,7,124.877,8,8,4D_kernel,8192,8192,8192
16,64,64,8,123.774,8,8,4D_kernel,8192,8192,8192
16,64,64,9,126.123,8,8,4D_kernel,8192,8192,8192
16,64,64,0,17.9911,8,8,4D_cublas,8192,8192,8192
16,64,64,1,18.5601,8,8,4D_cublas,8192,8192,8192
16,64,64,2,19.1134,8,8,4D_cublas,8192,8192,8192
16,64,64,3,19.2932,8,8,4D_cublas,8192,8192,8192
16,64,64,4,19.2332,8,8,4D_cublas,8192,8192,8192
16,64,64,5,19.3271,8,8,4D_cublas,8192,8192,8192
16,64,64,6,19.6647,8,8,4D_cublas,8192,8192,8192
16,64,64,7,19.435,8,8,4D_cublas,8192,8192,8192
16,64,64,8,19.4967,8,8,4D_cublas,8192,8192,8192
16,64,64,9,19.6428,8,8,4D_cublas,8192,8192,8192
16,128,64,0,124.261,8,8,4D_kernel,8192,8192,8192
16,128,64,1,122.388,8,8,4D_kernel,8192,8192,8192
16,128,64,2,123.415,8,8,4D_kernel,8192,8192,8192
16,128,64,3,124.423,8,8,4D_kernel,8192,8192,8192
16,128,64,4,124.946,8,8,4D_kernel,8192,8192,8192
16,128,64,5,123.952,8,8,4D_kernel,8192,8192,8192
16,128,64,6,124.966,8,8,4D_kernel,8192,8192,8192
16,128,64,7,124.417,8,8,4D_kernel,8192,8192,8192
16,128,64,8,122.555,8,8,4D_kernel,8192,8192,8192
16,128,64,9,124.23,8,8,4D_kernel,8192,8192,8192
16,128,64,0,18.0207,8,8,4D_cublas,8192,8192,8192
16,128,64,1,18.4111,8,8,4D_cublas,8192,8192,8192
16,128,64,2,18.6186,8,8,4D_cublas,8192,8192,8192
16,128,64,3,18.7759,8,8,4D_cublas,8192,8192,8192
16,128,64,4,18.9006,8,8,4D_cublas,8192,8192,8192
16,128,64,5,18.9726,8,8,4D_cublas,8192,8192,8192
16,128,64,6,19.1015,8,8,4D_cublas,8192,8192,8192
16,128,64,7,19.4238,8,8,4D_cublas,8192,8192,8192
16,128,64,8,20.0292,8,8,4D_cublas,8192,8192,8192
16,128,64,9,20.0143,8,8,4D_cublas,8192,8192,8192
16,64,32,0,144.504,8,8,4D_kernel,8192,8192,8192
16,64,32,1,143.454,8,8,4D_kernel,8192,8192,8192
16,64,32,2,145.128,8,8,4D_kernel,8192,8192,8192
16,64,32,3,144.837,8,8,4D_kernel,8192,8192,8192
16,64,32,4,144.003,8,8,4D_kernel,8192,8192,8192
16,64,32,5,144.025,8,8,4D_kernel,8192,8192,8192
16,64,32,6,144.868,8,8,4D_kernel,8192,8192,8192
16,64,32,7,144.698,8,8,4D_kernel,8192,8192,8192
16,64,32,8,145.248,8,8,4D_kernel,8192,8192,8192
16,64,32,9,145.282,8,8,4D_kernel,8192,8192,8192
16,64,32,0,17.9618,8,8,4D_cublas,8192,8192,8192
16,64,32,1,18.3518,8,8,4D_cublas,8192,8192,8192
16,64,32,2,19.014,8,8,4D_cublas,8192,8192,8192
16,64,32,3,19.27,8,8,4D_cublas,8192,8192,8192
16,64,32,4,19.3033,8,8,4D_cublas,8192,8192,8192
16,64,32,5,19.3801,8,8,4D_cublas,8192,8192,8192
16,64,32,6,19.6191,8,8,4D_cublas,8192,8192,8192
16,64,32,7,19.7825,8,8,4D_cublas,8192,8192,8192
16,64,32,8,19.7477,8,8,4D_cublas,8192,8192,8192
16,64,32,9,19.6596,8,8,4D_cublas,8192,8192,8192
16,64,256,0,122.984,8,8,4D_kernel,8192,8192,8192
16,64,256,1,123.096,8,8,4D_kernel,8192,8192,8192
16,64,256,2,122.938,8,8,4D_kernel,8192,8192,8192
16,64,256,3,123.059,8,8,4D_kernel,8192,8192,8192
16,64,256,4,123.031,8,8,4D_kernel,8192,8192,8192
16,64,256,5,123.084,8,8,4D_kernel,8192,8192,8192
16,64,256,6,122.972,8,8,4D_kernel,8192,8192,8192
16,64,256,7,123.058,8,8,4D_kernel,8192,8192,8192
16,64,256,8,123.042,8,8,4D_kernel,8192,8192,8192
16,64,256,9,123.111,8,8,4D_kernel,8192,8192,8192
16,64,256,0,17.6759,8,8,4D_cublas,8192,8192,8192
16,64,256,1,18.6396,8,8,4D_cublas,8192,8192,8192
16,64,256,2,18.8356,8,8,4D_cublas,8192,8192,8192
16,64,256,3,18.7835,8,8,4D_cublas,8192,8192,8192
16,64,256,4,18.8388,8,8,4D_cublas,8192,8192,8192
16,64,256,5,18.8954,8,8,4D_cublas,8192,8192,8192
16,64,256,6,18.8513,8,8,4D_cublas,8192,8192,8192
16,64,256,7,19.373,8,8,4D_cublas,8192,8192,8192
16,64,256,8,19.7873,8,8,4D_cublas,8192,8192,8192
16,64,256,9,19.7764,8,8,4D_cublas,8192,8192,8192
32,64,64,0,128.472,8,8,4D_kernel,8192,8192,8192
32,64,64,1,127.939,8,8,4D_kernel,8192,8192,8192
32,64,64,2,127.932,8,8,4D_kernel,8192,8192,8192
32,64,64,3,127.439,8,8,4D_kernel,8192,8192,8192
32,64,64,4,127.019,8,8,4D_kernel,8192,8192,8192
32,64,64,5,127.148,8,8,4D_kernel,8192,8192,8192
32,64,64,6,127.639,8,8,4D_kernel,8192,8192,8192
32,64,64,7,127.51,8,8,4D_kernel,8192,8192,8192
32,64,64,8,128.032,8,8,4D_kernel,8192,8192,8192
32,64,64,9,126.92,8,8,4D_kernel,8192,8192,8192
32,64,64,0,17.7156,8,8,4D_cublas,8192,8192,8192
32,64,64,1,18.2922,8,8,4D_cublas,8192,8192,8192
32,64,64,2,18.8579,8,8,4D_cublas,8192,8192,8192
32,64,64,3,18.861,8,8,4D_cublas,8192,8192,8192
32,64,64,4,18.8034,8,8,4D_cublas,8192,8192,8192
32,64,64,5,18.8832,8,8,4D_cublas,8192,8192,8192
32,64,64,6,18.7914,8,8,4D_cublas,8192,8192,8192
32,64,64,7,18.8695,8,8,4D_cublas,8192,8192,8192
32,64,64,8,19.4911,8,8,4D_cublas,8192,8192,8192
32,64,64,9,19.5844,8,8,4D_cublas,8192,8192,8192
16,32,32,0,289.981,8,8,4D_kernel,8192,8192,8192
16,32,32,1,289.842,8,8,4D_kernel,8192,8192,8192
16,32,32,2,289.727,8,8,4D_kernel,8192,8192,8192
16,32,32,3,289.792,8,8,4D_kernel,8192,8192,8192
16,32,32,4,289.75,8,8,4D_kernel,8192,8192,8192
16,32,32,5,289.757,8,8,4D_kernel,8192,8192,8192
16,32,32,6,289.79,8,8,4D_kernel,8192,8192,8192
16,32,32,7,289.919,8,8,4D_kernel,8192,8192,8192
16,32,32,8,289.78,8,8,4D_kernel,8192,8192,8192
16,32,32,9,289.818,8,8,4D_kernel,8192,8192,8192
16,32,32,0,17.6893,8,8,4D_cublas,8192,8192,8192
16,32,32,1,18.1739,8,8,4D_cublas,8192,8192,8192
16,32,32,2,18.7838,8,8,4D_cublas,8192,8192,8192
16,32,32,3,18.805,8,8,4D_cublas,8192,8192,8192
16,32,32,4,18.8935,8,8,4D_cublas,8192,8192,8192
16,32,32,5,19.0243,8,8,4D_cublas,8192,8192,8192
16,32,32,6,19.3716,8,8,4D_cublas,8192,8192,8192
16,32,32,7,19.2973,8,8,4D_cublas,8192,8192,8192
16,32,32,8,19.3025,8,8,4D_cublas,8192,8192,8192
16,32,32,9,19.2981,8,8,4D_cublas,8192,8192,8192
16,128,128,0,117.092,8,8,4D_kernel,8192,8192,8192
16,128,128,1,117.134,8,8,4D_kernel,8192,8192,8192
16,128,128,2,117.102,8,8,4D_kernel,8192,8192,8192
