bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,0,5.32461,8,8,2D_kernel,8192,8192,256
16,64,64,1,5.34099,8,8,2D_kernel,8192,8192,256
16,64,64,2,5.34838,8,8,2D_kernel,8192,8192,256
16,64,64,3,5.33619,8,8,2D_kernel,8192,8192,256
16,64,64,4,5.34499,8,8,2D_kernel,8192,8192,256
16,64,64,5,5.34067,8,8,2D_kernel,8192,8192,256
16,64,64,6,5.3327,8,8,2D_kernel,8192,8192,256
16,64,64,7,5.3456,8,8,2D_kernel,8192,8192,256
16,64,64,8,5.33638,8,8,2D_kernel,8192,8192,256
16,64,64,9,5.32918,8,8,2D_kernel,8192,8192,256
16,64,64,0,0.847232,8,8,2D_cublas,8192,8192,256
16,64,64,1,0.839424,8,8,2D_cublas,8192,8192,256
16,64,64,2,0.839264,8,8,2D_cublas,8192,8192,256
16,64,64,3,0.8272,8,8,2D_cublas,8192,8192,256
16,64,64,4,0.834464,8,8,2D_cublas,8192,8192,256
16,64,64,5,0.835232,8,8,2D_cublas,8192,8192,256
16,64,64,6,0.827744,8,8,2D_cublas,8192,8192,256
16,64,64,7,0.824608,8,8,2D_cublas,8192,8192,256
16,64,64,8,0.830592,8,8,2D_cublas,8192,8192,256
16,64,64,9,0.827104,8,8,2D_cublas,8192,8192,256
16,128,64,0,4.97744,8,8,2D_kernel,8192,8192,256
16,128,64,1,4.98109,8,8,2D_kernel,8192,8192,256
16,128,64,2,4.97926,8,8,2D_kernel,8192,8192,256
16,128,64,3,4.97821,8,8,2D_kernel,8192,8192,256
16,128,64,4,4.96938,8,8,2D_kernel,8192,8192,256
16,128,64,5,4.98,8,8,2D_kernel,8192,8192,256
16,128,64,6,4.97325,8,8,2D_kernel,8192,8192,256
16,128,64,7,4.9767,8,8,2D_kernel,8192,8192,256
16,128,64,8,4.96723,8,8,2D_kernel,8192,8192,256
16,128,64,9,4.97523,8,8,2D_kernel,8192,8192,256
16,128,64,0,0.835808,8,8,2D_cublas,8192,8192,256
16,128,64,1,0.831936,8,8,2D_cublas,8192,8192,256
16,128,64,2,0.821696,8,8,2D_cublas,8192,8192,256
16,128,64,3,0.826112,8,8,2D_cublas,8192,8192,256
16,128,64,4,0.82112,8,8,2D_cublas,8192,8192,256
16,128,64,5,0.819072,8,8,2D_cublas,8192,8192,256
16,128,64,6,0.817184,8,8,2D_cublas,8192,8192,256
16,128,64,7,0.820512,8,8,2D_cublas,8192,8192,256
16,128,64,8,0.815136,8,8,2D_cublas,8192,8192,256
16,128,64,9,0.814432,8,8,2D_cublas,8192,8192,256
16,64,32,0,5.96806,8,8,2D_kernel,8192,8192,256
16,64,32,1,5.96525,8,8,2D_kernel,8192,8192,256
16,64,32,2,5.96822,8,8,2D_kernel,8192,8192,256
16,64,32,3,5.96752,8,8,2D_kernel,8192,8192,256
16,64,32,4,5.96582,8,8,2D_kernel,8192,8192,256
16,64,32,5,5.96851,8,8,2D_kernel,8192,8192,256
16,64,32,6,5.98547,8,8,2D_kernel,8192,8192,256
16,64,32,7,5.97136,8,8,2D_kernel,8192,8192,256
16,64,32,8,5.98384,8,8,2D_kernel,8192,8192,256
16,64,32,9,5.97994,8,8,2D_kernel,8192,8192,256
16,64,32,0,0.84608,8,8,2D_cublas,8192,8192,256
16,64,32,1,0.846624,8,8,2D_cublas,8192,8192,256
16,64,32,2,0.833792,8,8,2D_cublas,8192,8192,256
16,64,32,3,0.829472,8,8,2D_cublas,8192,8192,256
16,64,32,4,0.831168,8,8,2D_cublas,8192,8192,256
16,64,32,5,0.83168,8,8,2D_cublas,8192,8192,256
16,64,32,6,0.82848,8,8,2D_cublas,8192,8192,256
16,64,32,7,0.824928,8,8,2D_cublas,8192,8192,256
16,64,32,8,0.822048,8,8,2D_cublas,8192,8192,256
16,64,32,9,0.820832,8,8,2D_cublas,8192,8192,256
16,64,256,0,5.44835,8,8,2D_kernel,8192,8192,256
16,64,256,1,5.43754,8,8,2D_kernel,8192,8192,256
16,64,256,2,5.40419,8,8,2D_kernel,8192,8192,256
16,64,256,3,5.37494,8,8,2D_kernel,8192,8192,256
16,64,256,4,5.3751,8,8,2D_kernel,8192,8192,256
16,64,256,5,5.36787,8,8,2D_kernel,8192,8192,256
16,64,256,6,5.47981,8,8,2D_kernel,8192,8192,256
16,64,256,7,5.48291,8,8,2D_kernel,8192,8192,256
16,64,256,8,5.42778,8,8,2D_kernel,8192,8192,256
16,64,256,9,5.47837,8,8,2D_kernel,8192,8192,256
16,64,256,0,0.833984,8,8,2D_cublas,8192,8192,256
16,64,256,1,0.836928,8,8,2D_cublas,8192,8192,256
16,64,256,2,0.82704,8,8,2D_cublas,8192,8192,256
16,64,256,3,0.828672,8,8,2D_cublas,8192,8192,256
16,64,256,4,0.824032,8,8,2D_cublas,8192,8192,256
16,64,256,5,0.823552,8,8,2D_cublas,8192,8192,256
16,64,256,6,0.821248,8,8,2D_cublas,8192,8192,256
16,64,256,7,0.822208,8,8,2D_cublas,8192,8192,256
16,64,256,8,0.817216,8,8,2D_cublas,8192,8192,256
16,64,256,9,0.815776,8,8,2D_cublas,8192,8192,256
32,64,64,0,5.36426,8,8,2D_kernel,8192,8192,256
32,64,64,1,5.36986,8,8,2D_kernel,8192,8192,256
32,64,64,2,5.3551,8,8,2D_kernel,8192,8192,256
32,64,64,3,5.3552,8,8,2D_kernel,8192,8192,256
32,64,64,4,5.36691,8,8,2D_kernel,8192,8192,256
32,64,64,5,5.36202,8,8,2D_kernel,8192,8192,256
32,64,64,6,5.3649,8,8,2D_kernel,8192,8192,256
32,64,64,7,5.36294,8,8,2D_kernel,8192,8192,256
32,64,64,8,5.35843,8,8,2D_kernel,8192,8192,256
32,64,64,9,5.36902,8,8,2D_kernel,8192,8192,256
32,64,64,0,0.837216,8,8,2D_cublas,8192,8192,256
32,64,64,1,0.833312,8,8,2D_cublas,8192,8192,256
32,64,64,2,0.82736,8,8,2D_cublas,8192,8192,256
32,64,64,3,0.8232,8,8,2D_cublas,8192,8192,256
32,64,64,4,0.822752,8,8,2D_cublas,8192,8192,256
32,64,64,5,0.823168,8,8,2D_cublas,8192,8192,256
32,64,64,6,0.819488,8,8,2D_cublas,8192,8192,256
32,64,64,7,0.816992,8,8,2D_cublas,8192,8192,256
32,64,64,8,0.816,8,8,2D_cublas,8192,8192,256
32,64,64,9,0.819744,8,8,2D_cublas,8192,8192,256
16,32,32,0,7.80909,8,8,2D_kernel,8192,8192,256
