bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,32,64,0,6.38118,8,8,2D_kernel,8192,8192,256
16,32,64,1,6.42048,8,8,2D_kernel,8192,8192,256
16,32,64,2,6.40061,8,8,2D_kernel,8192,8192,256
16,32,64,3,6.39971,8,8,2D_kernel,8192,8192,256
16,32,64,4,6.38973,8,8,2D_kernel,8192,8192,256
16,32,64,5,6.4063,8,8,2D_kernel,8192,8192,256
16,32,64,6,6.40678,8,8,2D_kernel,8192,8192,256
16,32,64,7,6.38714,8,8,2D_kernel,8192,8192,256
16,32,64,8,6.41184,8,8,2D_kernel,8192,8192,256
16,32,64,9,6.42582,8,8,2D_kernel,8192,8192,256
16,32,64,0,0.851968,8,8,2D_cublas,8192,8192,256
16,32,64,1,0.843488,8,8,2D_cublas,8192,8192,256
16,32,64,2,0.84176,8,8,2D_cublas,8192,8192,256
16,32,64,3,0.836672,8,8,2D_cublas,8192,8192,256
16,32,64,4,0.837088,8,8,2D_cublas,8192,8192,256
16,32,64,5,0.841024,8,8,2D_cublas,8192,8192,256
16,32,64,6,0.839648,8,8,2D_cublas,8192,8192,256
16,32,64,7,0.826464,8,8,2D_cublas,8192,8192,256
16,32,64,8,0.836352,8,8,2D_cublas,8192,8192,256
16,32,64,9,0.821792,8,8,2D_cublas,8192,8192,256
16,256,64,0,5.03376,8,8,2D_kernel,8192,8192,256
16,256,64,1,5.0495,8,8,2D_kernel,8192,8192,256
16,256,64,2,5.03376,8,8,2D_kernel,8192,8192,256
16,256,64,3,5.03485,8,8,2D_kernel,8192,8192,256
16,256,64,4,5.03002,8,8,2D_kernel,8192,8192,256
16,256,64,5,5.03859,8,8,2D_kernel,8192,8192,256
16,256,64,6,5.03539,8,8,2D_kernel,8192,8192,256
16,256,64,7,5.0401,8,8,2D_kernel,8192,8192,256
16,256,64,8,5.03581,8,8,2D_kernel,8192,8192,256
16,256,64,9,5.03174,8,8,2D_kernel,8192,8192,256
16,256,64,0,0.839136,8,8,2D_cublas,8192,8192,256
16,256,64,1,0.83968,8,8,2D_cublas,8192,8192,256
