bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,0,159.696,8,8,2D_kernel,8192,8192,8192
16,64,64,1,158.799,8,8,2D_kernel,8192,8192,8192
16,64,64,2,159.583,8,8,2D_kernel,8192,8192,8192
16,64,64,3,159.567,8,8,2D_kernel,8192,8192,8192
16,64,64,4,158.756,8,8,2D_kernel,8192,8192,8192
16,64,64,5,159.502,8,8,2D_kernel,8192,8192,8192
16,64,64,6,159.446,8,8,2D_kernel,8192,8192,8192
16,64,64,7,159.879,8,8,2D_kernel,8192,8192,8192
16,64,64,8,159.162,8,8,2D_kernel,8192,8192,8192
16,64,64,9,159.451,8,8,2D_kernel,8192,8192,8192
16,64,64,0,22.4564,8,8,2D_cublas,8192,8192,8192
16,64,64,1,22.4445,8,8,2D_cublas,8192,8192,8192
16,64,64,2,22.6622,8,8,2D_cublas,8192,8192,8192
16,64,64,3,22.6841,8,8,2D_cublas,8192,8192,8192
16,64,64,4,22.67,8,8,2D_cublas,8192,8192,8192
16,64,64,5,22.8278,8,8,2D_cublas,8192,8192,8192
16,64,64,6,22.7852,8,8,2D_cublas,8192,8192,8192
16,64,64,7,22.8238,8,8,2D_cublas,8192,8192,8192
16,64,64,8,22.7849,8,8,2D_cublas,8192,8192,8192
16,64,64,9,22.8464,8,8,2D_cublas,8192,8192,8192
16,128,64,0,149.688,8,8,2D_kernel,8192,8192,8192
16,128,64,1,149.497,8,8,2D_kernel,8192,8192,8192
16,128,64,2,149.646,8,8,2D_kernel,8192,8192,8192
16,128,64,3,149.506,8,8,2D_kernel,8192,8192,8192
16,128,64,4,149.585,8,8,2D_kernel,8192,8192,8192
16,128,64,5,149.699,8,8,2D_kernel,8192,8192,8192
16,128,64,6,149.5,8,8,2D_kernel,8192,8192,8192
16,128,64,7,149.446,8,8,2D_kernel,8192,8192,8192
16,128,64,8,149.491,8,8,2D_kernel,8192,8192,8192
16,128,64,9,149.833,8,8,2D_kernel,8192,8192,8192
16,128,64,0,22.4432,8,8,2D_cublas,8192,8192,8192
16,128,64,1,22.4385,8,8,2D_cublas,8192,8192,8192
16,128,64,2,22.4322,8,8,2D_cublas,8192,8192,8192
16,128,64,3,22.2465,8,8,2D_cublas,8192,8192,8192
16,128,64,4,22.5199,8,8,2D_cublas,8192,8192,8192
16,128,64,5,22.5121,8,8,2D_cublas,8192,8192,8192
16,128,64,6,22.3947,8,8,2D_cublas,8192,8192,8192
16,128,64,7,22.351,8,8,2D_cublas,8192,8192,8192
16,128,64,8,22.4338,8,8,2D_cublas,8192,8192,8192
16,128,64,9,22.8295,8,8,2D_cublas,8192,8192,8192
16,64,32,0,180.379,8,8,2D_kernel,8192,8192,8192
16,64,32,1,180.976,8,8,2D_kernel,8192,8192,8192
16,64,32,2,180.35,8,8,2D_kernel,8192,8192,8192
16,64,32,3,181.103,8,8,2D_kernel,8192,8192,8192
16,64,32,4,181.483,8,8,2D_kernel,8192,8192,8192
16,64,32,5,179.964,8,8,2D_kernel,8192,8192,8192
16,64,32,6,180.713,8,8,2D_kernel,8192,8192,8192
16,64,32,7,180.51,8,8,2D_kernel,8192,8192,8192
16,64,32,8,180.161,8,8,2D_kernel,8192,8192,8192
16,64,32,9,180.202,8,8,2D_kernel,8192,8192,8192
16,64,32,0,22.7343,8,8,2D_cublas,8192,8192,8192
16,64,32,1,24.3853,8,8,2D_cublas,8192,8192,8192
16,64,32,2,24.4503,8,8,2D_cublas,8192,8192,8192
16,64,32,3,23.9407,8,8,2D_cublas,8192,8192,8192
16,64,32,4,23.3198,8,8,2D_cublas,8192,8192,8192
16,64,32,5,22.846,8,8,2D_cublas,8192,8192,8192
16,64,32,6,22.7129,8,8,2D_cublas,8192,8192,8192
16,64,32,7,22.5853,8,8,2D_cublas,8192,8192,8192
16,64,32,8,22.6055,8,8,2D_cublas,8192,8192,8192
16,64,32,9,22.6014,8,8,2D_cublas,8192,8192,8192
16,64,256,0,145.181,8,8,2D_kernel,8192,8192,8192
16,64,256,1,145.251,8,8,2D_kernel,8192,8192,8192
16,64,256,2,145.393,8,8,2D_kernel,8192,8192,8192
16,64,256,3,144.964,8,8,2D_kernel,8192,8192,8192
16,64,256,4,144.929,8,8,2D_kernel,8192,8192,8192
16,64,256,5,145.0,8,8,2D_kernel,8192,8192,8192
16,64,256,6,144.849,8,8,2D_kernel,8192,8192,8192
16,64,256,7,144.908,8,8,2D_kernel,8192,8192,8192
16,64,256,8,144.992,8,8,2D_kernel,8192,8192,8192
16,64,256,9,144.891,8,8,2D_kernel,8192,8192,8192
16,64,256,0,22.7763,8,8,2D_cublas,8192,8192,8192
16,64,256,1,24.0905,8,8,2D_cublas,8192,8192,8192
16,64,256,2,24.3478,8,8,2D_cublas,8192,8192,8192
16,64,256,3,24.2754,8,8,2D_cublas,8192,8192,8192
16,64,256,4,24.3178,8,8,2D_cublas,8192,8192,8192
16,64,256,5,24.2651,8,8,2D_cublas,8192,8192,8192
16,64,256,6,24.4147,8,8,2D_cublas,8192,8192,8192
16,64,256,7,24.1131,8,8,2D_cublas,8192,8192,8192
16,64,256,8,24.006,8,8,2D_cublas,8192,8192,8192
16,64,256,9,22.8491,8,8,2D_cublas,8192,8192,8192
32,64,64,0,159.758,8,8,2D_kernel,8192,8192,8192
32,64,64,1,159.672,8,8,2D_kernel,8192,8192,8192
32,64,64,2,159.97,8,8,2D_kernel,8192,8192,8192
32,64,64,3,159.819,8,8,2D_kernel,8192,8192,8192
32,64,64,4,160.394,8,8,2D_kernel,8192,8192,8192
32,64,64,5,159.745,8,8,2D_kernel,8192,8192,8192
32,64,64,6,159.908,8,8,2D_kernel,8192,8192,8192
32,64,64,7,159.937,8,8,2D_kernel,8192,8192,8192
32,64,64,8,159.95,8,8,2D_kernel,8192,8192,8192
32,64,64,9,159.887,8,8,2D_kernel,8192,8192,8192
32,64,64,0,22.4625,8,8,2D_cublas,8192,8192,8192
32,64,64,1,22.3918,8,8,2D_cublas,8192,8192,8192
32,64,64,2,22.2193,8,8,2D_cublas,8192,8192,8192
32,64,64,3,22.2601,8,8,2D_cublas,8192,8192,8192
32,64,64,4,22.6268,8,8,2D_cublas,8192,8192,8192
32,64,64,5,22.5978,8,8,2D_cublas,8192,8192,8192
32,64,64,6,22.7037,8,8,2D_cublas,8192,8192,8192
32,64,64,7,22.9101,8,8,2D_cublas,8192,8192,8192
32,64,64,8,22.9292,8,8,2D_cublas,8192,8192,8192
32,64,64,9,22.9602,8,8,2D_cublas,8192,8192,8192
16,32,32,0,255.085,8,8,2D_kernel,8192,8192,8192
16,32,32,1,255.34,8,8,2D_kernel,8192,8192,8192
16,32,32,2,255.395,8,8,2D_kernel,8192,8192,8192
16,32,32,3,255.615,8,8,2D_kernel,8192,8192,8192
16,32,32,4,255.457,8,8,2D_kernel,8192,8192,8192
16,32,32,5,255.461,8,8,2D_kernel,8192,8192,8192
16,32,32,6,255.211,8,8,2D_kernel,8192,8192,8192
16,32,32,7,255.09,8,8,2D_kernel,8192,8192,8192
16,32,32,8,255.295,8,8,2D_kernel,8192,8192,8192
16,32,32,9,255.067,8,8,2D_kernel,8192,8192,8192
16,32,32,0,22.3528,8,8,2D_cublas,8192,8192,8192
16,32,32,1,22.3342,8,8,2D_cublas,8192,8192,8192
16,32,32,2,22.1121,8,8,2D_cublas,8192,8192,8192
16,32,32,3,22.3529,8,8,2D_cublas,8192,8192,8192
16,32,32,4,22.4413,8,8,2D_cublas,8192,8192,8192
16,32,32,5,22.4229,8,8,2D_cublas,8192,8192,8192
16,32,32,6,22.6257,8,8,2D_cublas,8192,8192,8192
16,32,32,7,22.9935,8,8,2D_cublas,8192,8192,8192
16,32,32,8,22.8913,8,8,2D_cublas,8192,8192,8192
16,32,32,9,22.7808,8,8,2D_cublas,8192,8192,8192
16,128,128,0,135.922,8,8,2D_kernel,8192,8192,8192
16,128,128,1,136.027,8,8,2D_kernel,8192,8192,8192
16,128,128,2,135.743,8,8,2D_kernel,8192,8192,8192
16,128,128,3,135.726,8,8,2D_kernel,8192,8192,8192
16,128,128,4,135.643,8,8,2D_kernel,8192,8192,8192
