bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,32,64,0,128.651,8,8,4D_kernel,8192,8192,8192
16,32,64,1,128.783,8,8,4D_kernel,8192,8192,8192
16,32,64,2,128.38,8,8,4D_kernel,8192,8192,8192
16,32,64,3,128.541,8,8,4D_kernel,8192,8192,8192
16,32,64,4,128.506,8,8,4D_kernel,8192,8192,8192
16,32,64,5,128.678,8,8,4D_kernel,8192,8192,8192
16,32,64,6,128.819,8,8,4D_kernel,8192,8192,8192
16,32,64,7,128.828,8,8,4D_kernel,8192,8192,8192
16,32,64,8,128.392,8,8,4D_kernel,8192,8192,8192
16,32,64,9,128.659,8,8,4D_kernel,8192,8192,8192
16,32,64,0,17.738,8,8,4D_cublas,8192,8192,8192
16,32,64,1,18.3566,8,8,4D_cublas,8192,8192,8192
16,32,64,2,18.4173,8,8,4D_cublas,8192,8192,8192
16,32,64,3,18.7249,8,8,4D_cublas,8192,8192,8192
16,32,64,4,18.7923,8,8,4D_cublas,8192,8192,8192
16,32,64,5,18.6479,8,8,4D_cublas,8192,8192,8192
16,32,64,6,18.8282,8,8,4D_cublas,8192,8192,8192
16,32,64,7,19.1543,8,8,4D_cublas,8192,8192,8192
16,32,64,8,19.1007,8,8,4D_cublas,8192,8192,8192
16,32,64,9,18.9435,8,8,4D_cublas,8192,8192,8192
16,256,64,0,134.553,8,8,4D_kernel,8192,8192,8192
16,256,64,1,134.526,8,8,4D_kernel,8192,8192,8192
16,256,64,2,134.618,8,8,4D_kernel,8192,8192,8192
16,256,64,3,134.522,8,8,4D_kernel,8192,8192,8192
16,256,64,4,134.535,8,8,4D_kernel,8192,8192,8192
16,256,64,5,134.619,8,8,4D_kernel,8192,8192,8192
16,256,64,6,134.614,8,8,4D_kernel,8192,8192,8192
16,256,64,7,134.621,8,8,4D_kernel,8192,8192,8192
16,256,64,8,134.621,8,8,4D_kernel,8192,8192,8192
16,256,64,9,134.808,8,8,4D_kernel,8192,8192,8192
16,256,64,0,17.7215,8,8,4D_cublas,8192,8192,8192
16,256,64,1,18.1866,8,8,4D_cublas,8192,8192,8192
16,256,64,2,18.6182,8,8,4D_cublas,8192,8192,8192
16,256,64,3,19.2719,8,8,4D_cublas,8192,8192,8192
16,256,64,4,19.2528,8,8,4D_cublas,8192,8192,8192
16,256,64,5,19.511,8,8,4D_cublas,8192,8192,8192
16,256,64,6,19.3533,8,8,4D_cublas,8192,8192,8192
16,256,64,7,19.3943,8,8,4D_cublas,8192,8192,8192
16,256,64,8,19.4648,8,8,4D_cublas,8192,8192,8192
16,256,64,9,19.3904,8,8,4D_cublas,8192,8192,8192
16,64,128,0,118.774,8,8,4D_kernel,8192,8192,8192
16,64,128,1,118.16,8,8,4D_kernel,8192,8192,8192
16,64,128,2,118.233,8,8,4D_kernel,8192,8192,8192
16,64,128,3,118.221,8,8,4D_kernel,8192,8192,8192
16,64,128,4,119.628,8,8,4D_kernel,8192,8192,8192
16,64,128,5,118.6,8,8,4D_kernel,8192,8192,8192
16,64,128,6,118.045,8,8,4D_kernel,8192,8192,8192
16,64,128,7,117.776,8,8,4D_kernel,8192,8192,8192
16,64,128,8,118.48,8,8,4D_kernel,8192,8192,8192
16,64,128,9,118.247,8,8,4D_kernel,8192,8192,8192
16,64,128,0,18.814,8,8,4D_cublas,8192,8192,8192
16,64,128,1,20.631,8,8,4D_cublas,8192,8192,8192
16,64,128,2,21.6319,8,8,4D_cublas,8192,8192,8192
16,64,128,3,20.6231,8,8,4D_cublas,8192,8192,8192
16,64,128,4,19.5681,8,8,4D_cublas,8192,8192,8192
16,64,128,5,19.2324,8,8,4D_cublas,8192,8192,8192
16,64,128,6,18.9772,8,8,4D_cublas,8192,8192,8192
16,64,128,7,19.031,8,8,4D_cublas,8192,8192,8192
16,64,128,8,19.2069,8,8,4D_cublas,8192,8192,8192
16,64,128,9,19.6782,8,8,4D_cublas,8192,8192,8192
8,64,64,0,127.043,8,8,4D_kernel,8192,8192,8192
8,64,64,1,125.674,8,8,4D_kernel,8192,8192,8192
8,64,64,2,125.511,8,8,4D_kernel,8192,8192,8192
8,64,64,3,126.063,8,8,4D_kernel,8192,8192,8192
8,64,64,4,126.754,8,8,4D_kernel,8192,8192,8192
8,64,64,5,126.341,8,8,4D_kernel,8192,8192,8192
8,64,64,6,125.847,8,8,4D_kernel,8192,8192,8192
8,64,64,7,126.362,8,8,4D_kernel,8192,8192,8192
8,64,64,8,126.244,8,8,4D_kernel,8192,8192,8192
8,64,64,9,125.942,8,8,4D_kernel,8192,8192,8192
8,64,64,0,17.8469,8,8,4D_cublas,8192,8192,8192
8,64,64,1,18.3001,8,8,4D_cublas,8192,8192,8192
8,64,64,2,18.7179,8,8,4D_cublas,8192,8192,8192
8,64,64,3,18.758,8,8,4D_cublas,8192,8192,8192
8,64,64,4,18.8082,8,8,4D_cublas,8192,8192,8192
8,64,64,5,19.0557,8,8,4D_cublas,8192,8192,8192
8,64,64,6,19.0848,8,8,4D_cublas,8192,8192,8192
