variant,kernel,a_layout,b_layout,L2_DCR,LST_INS,L3_TCM,L3_TCA,L3_DCR,L3_DCW,L3_DCM,L3_DCA,L2_TCM,L2_TCA,L2_DCA,L2_DCW,L2_DCM
k3_A0_B1_tl2,3,0,1,19413,353090,7279,16316,14220,264,0,14789,16598,29357,30670,20150,14804
k3_A0_B1_tl3,3,0,1,22454,1321080,7730,15894,12522,680,0,14401,14058,47928,45211,42174,14496
k3_A0_B1_tl4,3,0,1,35898,492307,9167,21019,13372,1838,0,19497,20696,83116,83723,85154,19577
k3_A0_B1_tl5,3,0,1,33048,234054,23004,64607,11311,9628,0,63811,60054,128561,127369,195196,52066
k3_A1_B0_tl0,3,1,0,17459,1110961,12894,27028,16014,81,0,26768,27895,19817,18795,610,27139
k3_A1_B0_tl1,3,1,0,15324,725182,6630,14412,12385,50,0,14427,14290,19253,17377,1832,14264
k3_A1_B0_tl2,3,1,0,18889,584588,8653,18743,12284,159,0,18551,19691,71643,69982,100584,18651
k3_A1_B0_tl3,3,1,0,19379,698386,6245,16571,12246,1027,0,14864,16132,47455,45085,46418,14903
k3_A1_B0_tl4,3,1,0,41066,371314,12950,28529,14440,5996,0,25837,28467,98326,91706,76722,28739
k3_A1_B0_tl5,3,1,0,90506,1085292,25935,70256,11513,6216,0,67562,67247,185452,185205,199190,69059
k3_A1_B1_tl0,3,1,1,32025,1651746,18930,37332,28930,104,0,37420,36756,33224,31718,1506,36865
k3_A1_B1_tl1,3,1,1,15213,675732,10984,16490,14612,34,0,16027,16491,26890,26602,21052,16146
k3_A1_B1_tl2,3,1,1,22239,465576,16041,19100,14122,209,0,19126,20456,74707,74546,101144,25168
k3_A1_B1_tl3,3,1,1,16243,880905,10804,16009,14719,1121,0,15614,16000,46153,45398,45670,15543
k3_A1_B1_tl4,3,1,1,39905,709039,14686,31217,14753,5791,0,32130,30287,95745,99660,103650,29569
k3_A1_B1_tl5,3,1,1,86275,1039926,24693,73791,7190,5499,0,69299,68491,244753,244089,299990,70394
